"VispuntWID ""WaarnemingWID"" ""Datum"" ""VispuntX"" ""VispuntY"" ""geometry"""
1 1824 7180 2010-04-07 215633 183291.01 c(215633, 183291.01)
2 2684 7182 2010-04-06 251322 202483.01 c(251322, 202483.01)
3 2652 7183 2010-04-06 246706 204493.01 c(246706, 204493.01)
4 1001 7184 2010-03-31 77826 157996.01 c(77826, 157996.01)
5 2679 7187 2010-04-08 230702 203680.01 c(230702, 203680.01)
6 1182 8011 2010-03-02 127436 173578.01 c(127436, 173578.01)
7 1533 8015 2010-03-04 133117 188753.01 c(133117, 188753.01)
8 1514 8017 2010-03-04 125528 186479.01 c(125528, 186479.01)
9 1467 8019 2010-03-04 125805 180262.01 c(125805, 180262.01)
10 2544 8020 2010-04-22 203139 209299.01 c(203139, 209299.01)
11 2472 8024 2010-04-21 187326 209997.01 c(187326, 209997.01)
12 2467 8025 2010-04-21 194418 214500.01 c(194418, 214500.01)
13 2530 8026 2010-04-21 194716 215017.01 c(194716, 215017.01)
14 2987 8027 2010-04-20 200532 217007.01 c(200532, 217007.01)
15 993 8036 2010-04-01 116339 177020.01 c(116339, 177020.01)
16 991 8040 2010-04-02 121640 186771.01 c(121640, 186771.01)
17 2606 8041 2010-03-09 224447 159871.01 c(224447, 159871.01)
18 2873 8043 2010-03-09 230500 162092.01 c(230500, 162092.01)
19 2605 8044 2010-03-09 231656 161771.01 c(231656, 161771.01)
20 2611 8045 2010-03-09 229114 163860.01 c(229114, 163860.01)
21 3167 8049 2010-03-10 244934 184449.01 c(244934, 184449.01)
22 2934 8051 2010-03-08 245851 182546.01 c(245851, 182546.01)
23 2942 8052 2010-03-08 243995 180072.01 c(243995, 180072.01)
24 2990 8054 2010-03-29 207425 205903.01 c(207425, 205903.01)
25 2524 8056 2010-04-23 206377 208350.01 c(206377, 208350.01)
26 2531 8057 2010-04-20 195473 219022.01 c(195473, 219022.01)
27 1363 8059 2010-04-01 90863 167807.01 c(90863, 167807.01)
28 3068 8063 2010-03-30 193240 197122.01 c(193240, 197122.01)
29 1390 8065 2010-03-31 78468 156687.01 c(78468, 156687.01)
